                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57442,                 3.2817,                  1.886,                0.95315,                0.91538,                0.95511,                0.85859,                0.30516,                 1.1667,                  1.516,               0.067036,             0.00033297,             0.00033297
                      1,                0.43736,                 1.7436,                 1.6384,                0.94708,                0.95717,                0.98245,                0.90244,                0.28823,                 1.1029,                 1.4709,               0.034035,             0.00066585,             0.00066585
                      2,                0.42329,                  1.674,                 1.6155,                0.96625,                0.97009,                0.98458,                0.90492,                0.29008,                 1.1384,                 1.4592,              0.0010328,              0.0009969,              0.0009969
                      3,                0.42143,                 1.6633,                 1.6196,                0.96598,                0.95862,                0.98746,                0.89708,                0.29136,                 1.1285,                 1.4911,             0.00099384,             0.00099384,             0.00099384
                      4,                0.41421,                 1.6124,                 1.6095,                0.96991,                0.97211,                0.99041,                0.92114,                0.28332,                 1.0907,                 1.4925,             0.00099384,             0.00099384,             0.00099384
                      5,                0.40796,                 1.5816,                 1.6012,                0.97087,                0.98246,                0.99094,                0.91929,                0.28361,                 1.0882,                 1.4448,             0.00098907,             0.00098907,             0.00098907
                      6,                 0.4063,                 1.5582,                 1.6037,                0.97203,                 0.9732,                 0.9925,                0.92759,                0.27504,                 1.0243,                 1.4708,             0.00098296,             0.00098296,             0.00098296
                      7,                0.40297,                 1.5329,                 1.5958,                0.96553,                 0.9812,                0.98974,                0.92092,                0.27355,                 1.0384,                 1.4685,             0.00097553,             0.00097553,             0.00097553
                      8,                0.39809,                 1.5179,                 1.5949,                0.97419,                0.98526,                0.99089,                 0.9252,                0.27442,                 1.0193,                 1.4744,             0.00096679,             0.00096679,             0.00096679
                      9,                0.39813,                 1.5054,                 1.5953,                0.96953,                0.97884,                0.98726,                0.92218,                0.27162,                 1.0037,                 1.4906,             0.00095678,             0.00095678,             0.00095678
                     10,                0.39598,                 1.4972,                 1.5885,                0.97515,                0.98113,                0.99171,                0.93361,                 0.2737,                 1.0089,                 1.4703,             0.00094551,             0.00094551,             0.00094551
                     11,                0.39626,                 1.4957,                  1.593,                0.98128,                0.97466,                0.99178,                0.93142,                0.26729,                0.97807,                 1.4814,             0.00093302,             0.00093302,             0.00093302
                     12,                0.39113,                 1.4699,                 1.5845,                0.96856,                0.98396,                0.99076,                0.92953,                0.26575,                0.97192,                 1.4637,             0.00091934,             0.00091934,             0.00091934
                     13,                0.38987,                 1.4632,                 1.5863,                0.97732,                0.97244,                0.99175,                0.93258,                0.26308,                0.96028,                 1.4483,             0.00090452,             0.00090452,             0.00090452
                     14,                0.39068,                 1.4532,                 1.5805,                0.98006,                0.97384,                0.99239,                 0.9361,                0.26177,                 0.9412,                 1.4581,             0.00088858,             0.00088858,             0.00088858
                     15,                0.38857,                 1.4534,                 1.5867,                0.96525,                0.98795,                0.99084,                0.93479,                0.26081,                0.93898,                 1.4701,             0.00087159,             0.00087159,             0.00087159
                     16,                0.38682,                 1.4384,                 1.5853,                0.96373,                 0.9815,                0.99166,                0.93269,                0.26022,                0.92143,                 1.4729,             0.00085357,             0.00085357,             0.00085357
                     17,                 0.3854,                 1.4317,                 1.5796,                0.96427,                0.98992,                0.99145,                 0.9384,                0.25795,                0.91948,                 1.4592,             0.00083458,             0.00083458,             0.00083458
                     18,                 0.3821,                 1.4116,                 1.5778,                0.97453,                0.98282,                0.99204,                0.93676,                0.25652,                0.90395,                 1.4596,             0.00081468,             0.00081468,             0.00081468
                     19,                0.38208,                 1.4141,                 1.5789,                0.97897,                0.98226,                0.99263,                0.93885,                0.25618,                0.90166,                 1.4663,             0.00079391,             0.00079391,             0.00079391
                     20,                0.38166,                 1.4037,                  1.572,                  0.975,                0.98703,                0.99189,                0.93658,                0.25525,                0.89462,                 1.4527,             0.00077234,             0.00077234,             0.00077234
                     21,                0.37845,                 1.3964,                 1.5739,                0.97633,                0.98944,                0.99273,                0.93854,                0.25332,                0.88251,                 1.4576,             0.00075003,             0.00075003,             0.00075003
                     22,                0.37793,                 1.3901,                 1.5716,                0.97371,                0.98904,                0.99267,                0.94234,                0.25326,                 0.8826,                 1.4512,             0.00072702,             0.00072702,             0.00072702
                     23,                 0.3756,                 1.3774,                 1.5716,                0.97731,                0.98719,                0.99356,                 0.9406,                0.25301,                0.87439,                 1.4571,              0.0007034,              0.0007034,              0.0007034
                     24,                0.37554,                 1.3719,                 1.5699,                0.98999,                0.98009,                0.99319,                0.93864,                0.25203,                0.87616,                 1.4473,             0.00067922,             0.00067922,             0.00067922
                     25,                 0.3734,                 1.3538,                 1.5635,                0.98584,                0.98105,                0.99295,                0.93868,                0.25141,                0.87004,                  1.448,             0.00065454,             0.00065454,             0.00065454
                     26,                0.37271,                 1.3553,                 1.5679,                0.97929,                0.98529,                 0.9931,                0.94177,                0.25037,                0.86489,                 1.4445,             0.00062945,             0.00062945,             0.00062945
                     27,                0.37138,                 1.3498,                 1.5582,                0.97579,                0.98726,                0.99251,                0.94263,                 0.2499,                 0.8654,                 1.4356,               0.000604,               0.000604,               0.000604
                     28,                0.36993,                 1.3445,                 1.5581,                0.97686,                0.98948,                0.99245,                0.93994,                0.24973,                0.86045,                 1.4358,             0.00057826,             0.00057826,             0.00057826
                     29,                0.36731,                 1.3353,                 1.5621,                0.98084,                0.98532,                 0.9923,                 0.9389,                 0.2491,                0.85557,                  1.439,             0.00055231,             0.00055231,             0.00055231
                     30,                0.36719,                 1.3312,                 1.5645,                0.98163,                0.98924,                0.99254,                0.93844,                 0.2484,                0.85137,                 1.4442,             0.00052622,             0.00052622,             0.00052622
                     31,                0.36488,                 1.3071,                 1.5598,                0.98726,                0.98413,                0.99259,                0.94007,                0.24808,                0.84857,                 1.4457,             0.00050005,             0.00050005,             0.00050005
                     32,                0.36556,                 1.3089,                 1.5579,                0.98356,                0.98804,                0.99261,                0.94064,                0.24773,                0.84588,                  1.446,             0.00047388,             0.00047388,             0.00047388
                     33,                0.36538,                 1.3046,                 1.5549,                0.98205,                0.98914,                0.99273,                0.94107,                0.24758,                0.84284,                 1.4446,             0.00044779,             0.00044779,             0.00044779
                     34,                0.36209,                 1.2947,                 1.5553,                0.98275,                0.98832,                0.99295,                0.94338,                0.24726,                 0.8401,                 1.4457,             0.00042184,             0.00042184,             0.00042184
                     35,                0.36154,                 1.2864,                 1.5543,                0.98489,                0.98766,                0.99304,                0.94437,                0.24706,                0.83881,                 1.4463,              0.0003961,              0.0003961,              0.0003961
                     36,                0.36056,                 1.2867,                 1.5562,                0.98128,                0.98812,                0.99305,                0.94479,                0.24662,                0.83684,                 1.4467,             0.00037065,             0.00037065,             0.00037065
                     37,                0.35851,                 1.2824,                 1.5525,                0.98406,                0.98773,                0.99314,                0.94492,                 0.2464,                0.83552,                 1.4475,             0.00034556,             0.00034556,             0.00034556
                     38,                0.35893,                 1.2789,                 1.5511,                0.98197,                0.98483,                0.99317,                0.94556,                0.24628,                0.83375,                 1.4478,             0.00032088,             0.00032088,             0.00032088
                     39,                0.35648,                 1.2578,                 1.5505,                0.98365,                0.98401,                0.99318,                0.94537,                0.24612,                0.83241,                 1.4485,              0.0002967,              0.0002967,              0.0002967
                     40,                0.35581,                 1.2526,                 1.5531,                0.98416,                0.98282,                0.99322,                 0.9457,                0.24585,                0.83134,                 1.4489,             0.00027308,             0.00027308,             0.00027308
                     41,                0.35471,                  1.251,                 1.5539,                0.98395,                0.98223,                 0.9933,                0.94644,                0.24578,                0.83003,                 1.4494,             0.00025008,             0.00025008,             0.00025008
                     42,                0.35549,                 1.2437,                  1.551,                0.98293,                 0.9818,                0.99335,                 0.9462,                0.24571,                0.83002,                 1.4494,             0.00022776,             0.00022776,             0.00022776
                     43,                0.35202,                  1.238,                 1.5456,                 0.9841,                0.98158,                0.99334,                0.94652,                0.24561,                0.82945,                 1.4493,             0.00020619,             0.00020619,             0.00020619
                     44,                0.35096,                 1.2347,                 1.5449,                 0.9845,                0.98133,                0.99331,                 0.9468,                0.24549,                0.82905,                 1.4495,             0.00018542,             0.00018542,             0.00018542
                     45,                0.35057,                  1.232,                  1.546,                0.97739,                0.98931,                0.99327,                0.94629,                 0.2454,                0.82835,                 1.4498,             0.00016552,             0.00016552,             0.00016552
                     46,                0.34914,                 1.2215,                 1.5487,                0.97731,                0.98973,                0.99323,                0.94672,                 0.2453,                0.82813,                 1.4502,             0.00014653,             0.00014653,             0.00014653
                     47,                0.34876,                 1.2223,                 1.5461,                0.97741,                0.98926,                0.99322,                0.94789,                0.24519,                0.82697,                 1.4504,             0.00012851,             0.00012851,             0.00012851
                     48,                0.34823,                  1.213,                 1.5457,                0.98455,                0.98108,                0.99329,                0.94773,                0.24516,                0.82681,                 1.4505,             0.00011152,             0.00011152,             0.00011152
                     49,                0.34629,                 1.2103,                 1.5463,                  0.985,                0.98109,                0.99326,                0.94772,                0.24514,                 0.8264,                 1.4509,             9.5582e-05,             9.5582e-05,             9.5582e-05
                     50,                0.34575,                 1.2031,                 1.5419,                0.98509,                0.98116,                0.99328,                0.94787,                0.24506,                0.82636,                 1.4511,             8.0757e-05,             8.0757e-05,             8.0757e-05
                     51,                 0.3453,                 1.2023,                 1.5398,                0.98546,                0.98096,                0.99328,                0.94808,                  0.245,                0.82549,                 1.4512,             6.7081e-05,             6.7081e-05,             6.7081e-05
                     52,                0.34475,                 1.1938,                 1.5408,                0.98503,                0.98102,                0.99331,                0.94819,                0.24494,                0.82587,                 1.4515,             5.4591e-05,             5.4591e-05,             5.4591e-05
                     53,                0.34587,                 1.1935,                 1.5422,                0.98459,                0.98097,                0.99331,                0.94812,                 0.2449,                 0.8252,                 1.4519,             4.3323e-05,             4.3323e-05,             4.3323e-05
                     54,                0.34377,                  1.191,                 1.5393,                0.98467,                0.98101,                0.99334,                0.94815,                0.24482,                0.82488,                 1.4521,             3.3306e-05,             3.3306e-05,             3.3306e-05
                     55,                0.34386,                 1.1909,                 1.5386,                0.98584,                0.98091,                0.99334,                0.94828,                0.24475,                0.82454,                 1.4523,             2.4569e-05,             2.4569e-05,             2.4569e-05
                     56,                0.34364,                 1.1882,                 1.5399,                0.98661,                0.98096,                0.99333,                0.94836,                0.24473,                0.82412,                 1.4525,             1.7135e-05,             1.7135e-05,             1.7135e-05
                     57,                0.34419,                  1.188,                 1.5407,                0.98692,                  0.981,                0.99333,                0.94841,                0.24472,                0.82412,                 1.4527,             1.1025e-05,             1.1025e-05,             1.1025e-05
                     58,                0.34344,                 1.1863,                 1.5387,                0.98696,                0.98116,                0.99332,                0.94797,                0.24471,                0.82437,                 1.4529,             6.2552e-06,             6.2552e-06,             6.2552e-06
                     59,                0.34306,                 1.1829,                 1.5385,                0.98713,                0.98121,                0.99338,                0.94853,                0.24471,                0.82433,                 1.4532,             2.8388e-06,             2.8388e-06,             2.8388e-06
