videof,videoid,fps,frame_num,time,frame_w,frame_h
./测试视频集/有通道/小猪/10005_20201108082309005_0.mp4,10005,12,533.0,44.416666666666664,1280.0,720.0
./测试视频集/有通道/小猪/10081_20201206000000107_89.mp4,10081,29,3730.0,128.6206896551724,1280.0,720.0
./测试视频集/有通道/小猪/10187_20210131110434004_34.mp4,10187,15,402.0,26.8,1280.0,720.0
./测试视频集/有通道/小猪/10146_20201218103004003_81.mp4,10146,12,541.0,45.083333333333336,1280.0,720.0
./测试视频集/无通道/小猪/30011_FJ_HH_0513_521_output_small_proc_cut.mp4,30011,8,9668.0,1208.5,2560.0,1440.0
./测试视频集/无通道/小猪/30046_巨星_0809_1063_20210809_1063_small_proc_cut_448.mp4,30046,8,6859.0,857.375,2560.0,1440.0
./测试视频集/无通道/小猪/30032_巨星_0728_1020_20210728_1020_small_proc_cut_480.mp4,30032,8,12523.0,1565.375,2560.0,1440.0
./测试视频集/无通道/小猪/30003_FJ_HH_0510_478_small_output_604.mp4,30003,8,57600.0,7200.0,2560.0,1440.0
./测试视频集/无通道/小猪/30022_SX_CR_0625_860_small_output_proc_cut.mp4,30022,8,44414.0,5551.75,2560.0,1440.0
./测试视频集/无通道/小猪/30031_巨星_0727_1017_20210727_1017_small_proc_cut_400.mp4,30031,8,26203.0,3275.375,2000.0,1262.0
./测试视频集/无通道/小猪/30021_FJ_HH_0607_750_output_small_proc_cut.mp4,30021,8,16772.0,2096.5,2560.0,1440.0
...
...